fin_year,gender,age_group,hc_type,term,estimate,std.error,statistic,p.value
2013/14,NA,65-75,NA,(Intercept),121.49944,2.42300,50.14425,0.00000
2013/14,NA,65-75,NA,No package in census,-86.25001,4.23054,-20.38745,0.00000
2013/14,NA,76-85,NA,(Intercept),103.76831,1.62325,63.92627,0.00000
2013/14,NA,76-85,NA,No package in census,-68.16727,2.74102,-24.86931,0.00000
2013/14,NA,86 plus,NA,(Intercept),91.45285,1.69453,53.96940,0.00000
2013/14,NA,86 plus,NA,No package in census,-52.45662,2.84425,-18.44302,0.00000
2013/14,NA,NA,Care at home (Mainstream),(Intercept),114.43138,1.46112,78.31742,0.00000
2013/14,NA,NA,Care at home (Mainstream),No package in census,-69.57648,2.53930,-27.39986,0.00000
2013/14,NA,NA,Rapid Response,(Intercept),93.32399,3.05053,30.59271,0.00000
2013/14,NA,NA,Rapid Response,No package in census,-67.26109,5.30026,-12.69014,0.00000
2013/14,NA,NA,Reablement,(Intercept),82.70458,1.48527,55.68307,0.00000
2013/14,NA,NA,Reablement,No package in census,-61.07396,2.37701,-25.69366,0.00000
2014/15,NA,NA,NA,(Intercept),90.76173,0.98808,91.85686,0.00000
2014/15,NA,NA,NA,No package in census,-54.31804,1.63445,-33.23326,0.00000
2014/15,Female,NA,NA,(Intercept),91.79100,1.20380,76.25121,0.00000
2014/15,Female,NA,NA,No package in census,-54.28416,2.00231,-27.11074,0.00000
2014/15,Male,NA,NA,(Intercept),88.63636,1.72895,51.26612,0.00000
2014/15,Male,NA,NA,No package in census,-54.27623,2.82867,-19.18788,0.00000
2014/15,NA,65-75,NA,(Intercept),106.94554,2.29686,46.56155,0.00000
2014/15,NA,65-75,NA,No package in census,-71.39851,3.97829,-17.94706,0.00000
2014/15,NA,76-85,NA,(Intercept),84.82533,1.34368,63.12915,0.00000
2014/15,NA,76-85,NA,No package in census,-48.84394,2.24152,-21.79054,0.00000
2014/15,NA,86 plus,NA,(Intercept),85.23815,1.68379,50.62283,1.0479505e-316
2014/15,NA,86 plus,NA,No package in census,-47.47514,2.65033,-17.91293,0.00000
2014/15,NA,NA,Care at home (Mainstream),(Intercept),98.59919,1.39676,70.59136,0.00000
2014/15,NA,NA,Care at home (Mainstream),No package in census,-56.45805,2.40631,-23.46251,0.00000
2014/15,NA,NA,Rapid Response,(Intercept),80.30872,2.51881,31.88359,0.00000
2014/15,NA,NA,Rapid Response,No package in census,-45.32945,4.01752,-11.28296,0.00000
2014/15,NA,NA,Reablement,(Intercept),75.47139,1.26154,59.82497,0.00000
2014/15,NA,NA,Reablement,No package in census,-48.43487,1.95366,-24.79191,0.00000
