med_name,bnf_subsec,n,pct
CAMOUFLAGERS,13080200,1481,0.0011
COVERING AGENTS,13080200,1075,8e-4
CETOMACROGOL,13010100,1541,0.0011
GLUTARALDEHYDE,13070000,368,3e-4
MENTHOL WITH EUCALYPTUS,03080000,1881,0.0014
CALCIUM FOLINATE,08010000,1218,9e-4
SILVER NITRATE,13070000,532,4e-4
DEQUALINIUM CHLORIDE,12030300,737,5e-4
GLUTEN FREE/WHEAT FREE GRAINS/FLOURS,09040100,571,4e-4
CATHETER PATENCY SOLUTIONS,07040400,891,7e-4
NEPAFENAC,11080200,1860,0.0014
HEXYLRESORCINOL,12030300,582,4e-4
CETRIMIDE,13100500,695,5e-4
PREDNISOLONE,10010200,4,0
CETRIMIDE AND CHLORHEXIDINE GLUCONATE,13110200,4462,0.0033
SODIUM PICOSULFATE AND MAGNESIUM CITRATE,01060500,1562,0.0012
SODIUM BICARBONATE,09020200,52,0
LOW PROTEIN MIXES,09040100,988,7e-4
BENZALKONIUM CHLORIDE,12030300,341,3e-4
BENZOIN,03080000,75,1e-4
CEFPODOXIME,05010200,229,2e-4
ALCOHOL,13110100,1124,8e-4
CHLORHEXIDINE IN ISOPROPYL ALCOHOL,13110200,102,1e-4
TETRACAINE,11070000,255,2e-4
SYRUP,09110100,19,0
COMBINED FOOD PREPARATION,09110400,402,3e-4
CHLORHEXIDINE IN METHYLATED SPIRIT,13110200,111,1e-4
HYDROCORTISONE ACETATE,10010200,218,2e-4
GLUCOSE,09040100,25666,0.0191
DIBROMOPROPAMIDINE ISETIONATE,13100500,334,2e-4
ISOPROPYL ALCOHOL,13110100,222,2e-4
INOSINE ACEDOBEN DIMEPRANOL,05030200,56,0
EPINEPHRINE,02070300,13,0
CHLORHEXIDINE GLUCONATE,13100500,103715,0.0773
THYMOL,12030400,57,0
DICLOFENAC,11080200,71851,0.0535
FLUORESCEIN SODIUM,11080200,259,2e-4
LOW PROTEIN BREAD,09040100,357,3e-4
TETRACAINE,15020100,255,2e-4
ALFENTANIL,15010400,1080,8e-4
FOODS FOR SPECIAL DIETS,09090000,89656,0.0668
FOODS,09040200,91,1e-4
CHLOROBUTANOL AND CHLORHEXIDINE GLUCONATE,12030400,283,2e-4
FORMALDEHYDE,13070000,225,2e-4
GLYCOPYRRONIUM BROMIDE,15010300,356,3e-4
CHLORHEXIDINE DIGLUCONATE AND TETRACAINE HYDROCHLORIDE,12030300,191,1e-4
OXYBUPROCAINE HYDROCHLORIDE,11070000,34,0
SOLVENT ETHER,13110100,4,0
PHLEUM PRATENSE,03040200,11,0
BENZOCAINE,13020300,21682,0.0162
TALC PURIFIED,13020300,2,0
PHOSPHATES (RECTAL),01060500,65,0
DIAZOXIDE,06010400,152,1e-4
BUPIVACAINE HYDROCHLORIDE,15020100,986,7e-4
LIDOCAINE HYDROCHLORIDE WITH CHLORHEXIDINE GLUCONATE,12030300,36745,0.0274
TENECTEPLASE,02100200,4,0
LOW PROTEIN PASTA,09040100,69,1e-4
LIDOCAINE WITH EPINEPHRINE,15020100,210,2e-4
AMYLMETACRESOL AND DICHLOROBENZYL ALCOHOL WITH ASCORBIC ACID,12030300,94,1e-4
GENTIAN,09070000,5,0
PHENOL,13110500,108,1e-4
ETYNODIOL DIACETATE,07030200,4,0
GLUTEN FREE/LOW PROTEIN PASTA,09040100,11,0
SODIUM BENZOATE,12030400,45,0
MISCELLANEOUS HERBALS,09120000,6,0
WITCH HAZEL,13110600,31,0
LOW PROTEIN CEREALS,09040100,20,0
GLUTEN FREE COOKING AIDS,09040100,2,0
SODIUM HYPOCHLORITE,13110400,86,1e-4
CHLORHEXIDINE IN ISOPROPYL ALCOHOL,13110100,102,1e-4
LACTASE,09110200,10,0
KETOROLAC TROMETAMOL,15010400,9589,0.0071
KETAMINE,15010100,128,1e-4
MAGNESIUM CITRATE,01060500,103,1e-4
CHLOROXYLENOL,13110500,36,0
LIDOCAINE WITH AMINOACRIDINE,12030300,3,0
ATROPINE SULFATE,15010300,14,0
PROXYMETACAINE HYDROCHLORIDE,11070000,16,0
ENTERAL NUTRITION,09090000,269419,0.2007
FLUOROURACIL WITH SALICYLIC ACID,13080100,1836,0.0014
LIDOCAINE AND TETRACAINE,15020100,2,0
PARAFFIN HARD,13010100,9,0
FENTANYL,15010400,9,0
FOODS FOR SPECIAL DIETS,09110100,89656,0.0668
MESNA,08010000,4,0
MOXIFLOXACIN,11080200,2,0
DECOGESTANT DROPS,03080000,36,0
BROMFENAC,11080200,62,0
HYDROGEN PEROXIDE,12030400,2283,0.0017
SODIUM CHLORIDE,07040400,6243,0.0047
LOW PROTEIN FOODS,09040100,3,0
LOW PROTEIN GRAINS/FLOURS,09040100,8,0
PHENOL WITH CHLORHEXIDINE GLUCONATE,13100500,410,3e-4
INGENOL MEBUTATE,13080100,3604,0.0027
GLUTEN FREE CEREALS,09040100,9370,0.007
INTRAVENOUS NUTRITION SUPPLEMENTS,09030000,1,0
VITAMINS C AND D3 WITH FOLIC ACID,09060700,5,0
DINOPROSTONE,07010100,1,0
CRANBERRY,09120000,1876,0.0014
ALUMINIUM CHLORIDE,13120000,59,0
POTASSIUM CHLORIDE,09020200,1,0
BRIMONIDINE TARTRATE,13060300,346,3e-4
BENZOYL PEROXIDE WITH POTASSIUM HYDROXYQUINOLINE,13110200,12,0
ULIPRISTAL,06040100,1,0
ALKYL SULFATE,13110300,79,1e-4
PRILOCAINE HYDROCHLORIDE,15020100,2,0
RACECADOTRIL,01040300,11,0
DAPOXETINE,07040600,10,0
CARBOMER,11080300,343,3e-4
POVIDONE IODINE,11080200,6636,0.0049
ERGOMETRINE MALEATE,07010100,2,0
LOW PROTEIN COOKING AIDS,09040100,3,0
PIRFENIDONE,03110100,6,0
LIDOCAINE HYDROCHLORIDE WITH FLUORESCEIN SODIUM,11070000,3,0
FLEXIBLE COLLODION,13100500,4,0
BECAPLERMIN,13110700,1,0
MIVACURIUM CHLORIDE,15010500,1,0
NORETHISTERONE ENANTHATE,07030200,1,0
SOAP,13110300,1,0
LANOLIN,13010100,2,0
FOODS,09040100,91,1e-4
CIPROFLOXACIN WITH DEXAMETHASONE,12010200,8,0
INSULIN DEGLUDEC AND LIRAGLUTIDE,06010200,2,0
LIDOCAINE HYDROCHLORIDE WITH CETYLPYRIDIUM CHLORIDE,15020100,3,0
MULTIVITAMINS,09100000,53677,0.04
