fin_year,gender,age_group,hc_type,term,estimate,std.error,statistic,p.value
2012/13,NA,NA,Reablement,(Intercept),8.83021,0.26227,33.66821,0.00000
2012/13,NA,NA,Reablement,No package in census,1.80571,0.41909,4.30863,0.00002
2013/14,NA,NA,NA,(Intercept),8.53060,0.11703,72.89447,0.00000
2013/14,NA,NA,NA,No package in census,0.99510,0.19753,5.03783,0.00000
2013/14,Female,NA,NA,(Intercept),8.56033,0.14527,58.92580,0.00000
2013/14,Female,NA,NA,No package in census,1.09245,0.25274,4.32241,0.00002
2013/14,Male,NA,NA,(Intercept),8.46358,0.19607,43.16719,0.00000
2013/14,Male,NA,NA,No package in census,0.84392,0.31269,2.69892,0.00704
2013/14,NA,65-75,NA,(Intercept),8.62438,0.22231,38.79444,0.00000
2013/14,NA,65-75,NA,No package in census,0.77386,0.38666,2.00140,0.04557
2013/14,NA,76-85,NA,(Intercept),8.42005,0.17557,47.95774,0.00000
2013/14,NA,76-85,NA,No package in census,0.95300,0.29475,3.23321,0.00124
2013/14,NA,86 plus,NA,(Intercept),8.60743,0.22139,38.87899,0.00000
2013/14,NA,86 plus,NA,No package in census,1.24013,0.36713,3.37786,0.00075
2013/14,NA,NA,Care at home (Mainstream),(Intercept),8.15890,0.14301,57.05158,0.00000
2013/14,NA,NA,Care at home (Mainstream),No package in census,0.76642,0.24713,3.10124,0.00194
2013/14,NA,NA,Rapid Response,(Intercept),9.62124,0.35585,27.03743,0.00000
2013/14,NA,NA,Rapid Response,No package in census,0.94390,0.60319,1.56486,0.11840
2013/14,NA,NA,Reablement,(Intercept),9.23855,0.24147,38.25906,0.00000
2013/14,NA,NA,Reablement,No package in census,1.36446,0.38304,3.56220,0.00038
2014/15,NA,NA,NA,(Intercept),8.41053,0.11448,73.46593,0.00000
2014/15,NA,NA,NA,No package in census,1.19740,0.18886,6.34027,0.00000
2014/15,Female,NA,NA,(Intercept),8.36861,0.14120,59.26693,0.00000
2014/15,Female,NA,NA,No package in census,1.29775,0.23429,5.53897,0.00000
2014/15,Male,NA,NA,(Intercept),8.49754,0.19535,43.49827,0.00000
2014/15,Male,NA,NA,No package in census,0.99566,0.31854,3.12568,0.00181
2014/15,NA,65-75,NA,(Intercept),8.42695,0.21867,38.53803,0.00000
2014/15,NA,65-75,NA,No package in census,0.87801,0.38278,2.29378,0.02198
2014/15,NA,76-85,NA,(Intercept),8.37375,0.16876,49.61865,0.00000
2014/15,NA,76-85,NA,No package in census,1.17451,0.27955,4.20137,0.00003
2014/15,NA,86 plus,NA,(Intercept),8.45811,0.22228,38.05080,0.00000
2014/15,NA,86 plus,NA,No package in census,1.45629,0.34720,4.19441,0.00003
2014/15,NA,NA,Care at home (Mainstream),(Intercept),8.00392,0.13836,57.84754,0.00000
2014/15,NA,NA,Care at home (Mainstream),No package in census,0.62334,0.23816,2.61726,0.00891
2014/15,NA,NA,Rapid Response,(Intercept),9.99231,0.38491,25.95984,0.00000
2014/15,NA,NA,Rapid Response,No package in census,0.69446,0.61217,1.13441,0.25726
2014/15,NA,NA,Reablement,(Intercept),8.89821,0.22959,38.75748,0.00000
2014/15,NA,NA,Reablement,No package in census,2.13544,0.35166,6.07242,0.00000
